ID,List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
11,126,1996,2,,12.0,,"14,19",3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,2.0,7.0,7.0,7.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
12,126,1986,2,,10.0,10.0,11,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,6.0,4.0,5.0,6.0,6.0,2.0,5.0,5.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,6.0,4.0,4.0,1.0,6.0,6.0,5.0,1.0
13,185,1995,1,,17.0,6.0,"9,10",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,7.0,2.0,6.0,1.0,7.0,1.0,5.0,3.0,7.0,3.0,6.0,7.0,7.0,1.0,5.0,7.0,7.0,1.0,6.0,1.0,7.0,1.0,6.0,7.0,7.0,1.0
14,14,1997,2,,15.0,0.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,1.0,6.0,1.0,7.0,7.0,6.0,1.0,6.0,6.0,1.0,1.0,7.0,7.0,6.0,1.0
15,84,2000,2,,23.0,1.0,"9,19",2.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,7.0,1.0,7.0,5.0,5.0,1.0,6.0,1.0,7.0,7.0,5.0,1.0,6.0,7.0,5.0,1.0,7.0,1.0,5.0,1.0,6.0,7.0,1.0,1.0
16,164,1993,2,,24.0,5.0,"3,10",2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,6.0,2.0,6.0,1.0,7.0,2.0,6.0,2.0,6.0,1.0,7.0,6.0,2.0,2.0,7.0,7.0,4.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,2.0
17,192,1999,1,,17.0,1.0,"10,16",2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,6.0,2.0,5.0,5.0,6.0,1.0,6.0,4.0,6.0,5.0,7.0,2.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,2.0
18,192,1996,2,,24.0,1.0,"11,16",2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,2.0,4.0,5.0,6.0,3.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0
19,185,2001,1,,20.0,0.0,,2.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,7.0,3.0,4.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,
20,164,1989,2,,24.0,12.0,"11,13",4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,6.0,4.0,6.0,7.0,7.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,3.0,3.0,4.0,7.0,7.0,5.0,6.0
21,164,1997,1,,24.0,3.0,11,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0
22,126,1990,1,,13.0,7.0,"11,19",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,7.0,2.0,6.0,5.0,6.0,1.0,5.0,7.0,4.0,1.0,6.0,6.0,4.0,1.0,3.0,7.0,1.0,1.0,6.0,7.0,7.0,1.0
23,126,1993,2,,14.0,6.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,2.0,7.0,2.0,7.0,7.0,7.0,1.0,7.0,1.0,,,,,,7.0,5.0,,,,,,,,,
24,185,1988,1,,6.0,10.0,16,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,3.0,6.0,4.0,7.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,6.0,1.0,1.0,4.0,5.0,1.0,2.0
25,185,2000,1,,24.0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,185,1998,1,,20.0,0.0,,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,1.0
27,169,1996,2,,24.0,13.0,"9,16,17",3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0
28,185,1995,3,,19.0,,19,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,6.0,4.0,6.0,4.0,6.0,3.0,1.0,4.0,3.0,2.0,7.0,2.0,4.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,3.0
29,185,1998,1,,17.0,8.0,13,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,6.0,6.0,7.0,3.0,4.0,5.0,2.0,4.0,6.0,7.0,7.0,2.0,4.0,7.0,7.0,2.0,6.0,7.0,5.0,1.0,7.0,7.0,6.0,3.0
30,163,1983,1,,15.0,13.0,"3,10,13,17",3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,7.0,4.0,6.0,6.0,6.0,1.0,7.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,7.0,6.0,3.0,2.0,6.0,2.0,3.0,4.0,6.0,4.0
31,78,1998,1,,17.0,1.75,17,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,1.0,6.0,5.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0
32,126,1979,2,,24.0,19.0,11,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,7.0,6.0,6.0,6.0,7.0,2.0,7.0,1.0,5.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,2.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,2.0,1.0
33,126,1970,4,,24.0,16.0,11,2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,1.0,6.0,1.0,4.0,,5.0,7.0,7.0,6.0,7.0,1.0,6.0,6.0,4.0,6.0,7.0,7.0,6.0,5.0
34,164,1992,2,,24.0,5.0,19,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,4.0,7.0,6.0,6.0,4.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,5.0,6.0,1.0,1.0,6.0,7.0,7.0,1.0
35,126,1999,1,,17.0,7.0,"9,11,15,17,18,19",4.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,7.0,1.0,7.0,6.0,7.0,2.0,7.0,5.0,3.0,7.0,5.0,4.0,5.0,7.0,6.0,4.0,2.0,7.0,4.0,4.0,6.0,3.0,5.0,4.0
36,126,1987,2,,13.0,6.0,"14,19",2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,1.0,6.0,2.0,7.0,6.0,6.0,2.0,6.0,2.0,7.0,4.0,7.0,1.0,7.0,7.0,7.0,2.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,2.0
37,164,1981,1,,24.0,17.0,10,4.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,6.0,6.0,4.0,6.0,7.0,5.0,5.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,5.0,7.0,1.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
38,130,1993,1,,17.0,5.0,"10,13,14",4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,7.0,1.0,5.0,3.0,7.0,5.0,6.0,2.0,2.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,3.0,4.0,1.0,6.0,6.0,6.0,5.0
39,130,1991,2,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,164,1996,1,,24.0,4.0,"10,11,13",3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,4.0,6.0,3.0,7.0,3.0,6.0,1.0,6.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,6.0,1.0,5.0,6.0,1.0,1.0,5.0,7.0,1.0,1.0
41,78,1992,1,,20.0,7.0,11,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,185,1975,2,,11.0,10.0,"8,9,13",2.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,7.0,5.0,7.0,6.0,7.0,2.0,6.0,5.0,7.0,7.0,2.0,2.0,5.0,7.0,5.0,1.0,6.0,4.0,4.0,1.0,7.0,7.0,2.0,2.0
43,164,1990,2,,24.0,9.5,11,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,,4.0,6.0,3.0,7.0,7.0,5.0,2.0,4.0,2.0,6.0,7.0,1.0,1.0,4.0,7.0,6.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
44,104,1993,1,,24.0,4.0,11,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,3.0,4.0,4.0,2.0
45,172,1993,1,,15.0,5.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,78,1994,1,,24.0,,11,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,2.0,7.0,1.0,6.0,1.0,6.0,1.0,7.0,6.0,1.0,1.0,5.0,6.0,3.0,2.0,5.0,7.0,1.0,1.0,4.0,7.0,3.0,1.0
47,185,1997,2,,35.0,,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,3.0,6.0,6.0,7.0,2.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0
48,104,1992,1,,33.0,5.0,"3,7,18,19",2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,,7.0,7.0,5.0,6.0,5.0,2.0,,6.0,6.0,6.0,6.0
49,126,1984,2,,17.0,8.0,11,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,6.0,7.0,3.0,7.0,5.0,7.0,1.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0
50,126,1992,1,,17.0,6.0,12,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,1.0,7.0,2.0,6.0,4.0,4.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,7.0,7.0,7.0,1.0,7.0,6.0,1.0,1.0,6.0,7.0,6.0,1.0
51,126,1998,2,,23.0,1.0,"11,14",4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,7.0,1.0,6.0,2.0,7.0,2.0,7.0,2.0,4.0,2.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,5.0,3.0,2.0,1.0,7.0,7.0,5.0,1.0
52,126,1991,2,,16.0,5.0,11,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,,4.0,4.0,4.0,1.0
53,126,2001,2,,14.0,,"10,11",4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,6.0,6.0,7.0,6.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,6.0,5.0,1.0
54,126,1979,2,,17.0,7.0,10,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,1.0,6.0,1.0,6.0,4.0,6.0,1.0,6.0,1.0,5.0,7.0,4.0,3.0,6.0,6.0,6.0,1.0,4.0,4.0,,1.0,6.0,7.0,7.0,1.0
55,126,1986,2,,16.0,13.0,11,4.0,5.0,4.0,5.0,5.0,,3.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,,4.0,6.0,5.0,7.0,1.0,5.0,2.0,,,,,,,7.0,,,,,,,,,
56,126,1986,2,,17.0,11.0,10,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,6.0,1.0,7.0,2.0,6.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,
57,126,1990,2,,24.0,,"10,17,19",4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,7.0,1.0,7.0,4.0,6.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,
58,126,1992,1,,6.0,7.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,,2.0,7.0,6.0,7.0,1.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0
59,164,1991,1,,15.0,4.0,3,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,7.0,2.0,2.0,2.0,6.0,5.0,5.0,2.0,6.0,2.0,7.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,5.0,4.0,3.0,3.0,6.0,6.0,4.0,2.0
60,192,1997,2,,24.0,2.0,"14,19",2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,1.0,3.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0
61,78,1993,2,,15.0,3.0,"10,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,179,1996,1,,24.0,2.0,"10,19",2.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,3.0,6.0,5.0,5.0,1.0,7.0,3.0,5.0,6.0,4.0,1.0,5.0,6.0,2.0,2.0,4.0,7.0,1.0,1.0,4.0,6.0,6.0,4.0
63,185,1998,2,,24.0,1.0,"16,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,80,1989,2,,22.0,7.0,"14,17",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,1.0,7.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0
65,75,2000,1,,18.0,0.0,,2.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,6.0,6.0,5.0,7.0,3.0,7.0,5.0,6.0,3.0,5.0,2.0,6.0,7.0,4.0,6.0,1.0,3.0,5.0,4.0,5.0,7.0
66,75,1995,2,,19.0,5.0,"10,16",4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0,2.0,6.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0
67,78,1987,2,,24.0,8.0,11,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,3.0,6.0,7.0,7.0,1.0,6.0,5.0,7.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
68,118,1996,2,,17.0,5.0,"10,11,13,16",4.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,7.0,2.0,7.0,4.0,7.0,2.0,6.0,3.0,7.0,6.0,4.0,6.0,4.0,4.0,2.0,4.0,5.0,7.0,3.0,4.0,6.0,6.0,3.0,3.0
