List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Nigeria,1996,Female,,CAH07-02	Chemistry,3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Disagree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
Nigeria,1986,Female,,"CAH06-01	Agriculture, food and related studies",10,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree a little,Diagree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Moderately,Not At All,A Lot,Moderately,Moderately,Not At All,A Lot,A Lot,Enough,Not At All
United Kingdom of Great Britain and Northern Ireland,1995,Male,,CAH11-01	Computing,6,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,INFORMATION AND COMMUNICATION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree strongly,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree a little,Disagree a little,Agree strongly,Disagree a little,A Lot,Exactly,Exactly,Not At All,Enough,Exactly,Exactly,Not At All,A Lot,Not At All,Exactly,Not At All,A Lot,Exactly,Exactly,Not At All
Bangladesh,1997,Female,,CAH10-01	Engineering,0,,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Not At All,A Lot,Not At All,Exactly,Exactly,A Lot,Not At All,A Lot,A Lot,Not At All,Not At All,Exactly,Exactly,A Lot,Not At All
Italy,2000,Female,,CAH16-01	Law,1,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Disagree a little,Disagree moderately,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Agree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Enough,Not At All,A Lot,Exactly,Enough,Not At All,Exactly,Not At All,Enough,Not At All,A Lot,Exactly,Not At All,Not At All
Sri Lanka,1993,Female,,CAH17-01	Business and management,5,"MANUFACTURING,INFORMATION AND COMMUNICATION",I have some experience,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Exactly,A Lot,A Very Little,A Very Little,Exactly,Exactly,Moderately,A Very Little,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,Moderately,A Very Little
Viet Nam,1999,Male,,CAH11-01	Computing,1,"INFORMATION AND COMMUNICATION,EDUCATION",I have some experience,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree moderately,Diagree strongly,Agree moderately,Neither agree nor disagree,A Lot,Enough,Exactly,A Very Little,Moderately,A Lot,A Lot,A Little,Moderately,Moderately,Moderately,A Little,Enough,Moderately,A Lot,A Very Little
Viet Nam,1996,Female,,CAH17-01	Business and management,1,"FINANCIAL AND INSURANCE ACTIVITIES,EDUCATION",I have some experience,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,A Lot,A Lot,A Lot,A Very Little,Moderately,Enough,A Lot,A Little,Enough,Enough,A Very Little,A Very Little,Enough,Enough,Enough,A Very Little
United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH15-02	Economics,0,,I have some experience,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Neither agree nor disagree,,,,,,,,,,,,,,,,
Sri Lanka,1989,Female,,CAH17-01	Business and management,12,"FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,A Little,Exactly,A Little,A Little,Moderately,Exactly,Exactly,Enough,A Lot
