Q12,Q14,Q10,Q16,Unnamed: 9,Unnamed: 10,Student Activity by Day in hours,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Avg course & student time &logins,Unnamed: 19,Unnamed: 20,Unnamed: 21,Student Activity by Item in the Course total time spent in hours,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Number of Times Accessed,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Initial Access Date/Time,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,What is your first degree subject area?,Student ID,Date Range- Week 2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Student Time in Course,Avg Time Per User,Total items:,Total Logins,Assignments,Learning Materials,Module Information (Handbook(,Reading List,Week 1,Week 2,week 3 ,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,Week 2 ,Week 3,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,Week 2,week 3
United Kingdom of Great Britain and Northern Ireland,1995,Male,CAH11-01	Computing,13,10/10/22 - 16/10/22,0.005833333333333333,1.1766666666666665,0,0,0.39805500000000005,0.05083333333333333,0,01:37:53,02:21:13,5,6,0,0.0022216666666666665,0.000555,0,0,0.012221666666666665,0.005278333333333333,0,3,2,0,0,1,2,,2022-10-11 13:47:06.802000,2022-10-14 20:25:19.077000,,,2022-10-11 13:47:09.476000,2022-10-14 19:56:26.777000
Bangladesh,1997,Female,CAH10-01	Engineering,14,10/10/22 - 16/10/22,0,4.493056666666667,0.027221666666666665,0,0,0,0,04:31:13,02:21:13,3,3,0,0.003888333333333333,0,0,0.3602783333333333,2.6277783333333335,0,0,5,0,0,1,4,0,,2022-10-11 13:59:19.249000,,,2022-10-11 14:49:16.366000,2022-10-11 13:59:23.257000,
Italy,2000,Female,CAH16-01	Law,15,10/10/22 - 16/10/22,4.064723333333334,0.9511116666666666,0,0,0,0.005833333333333333,2.1236116666666667,07:08:43,02:21:13,7,14,0,0.06194500000000001,0.0016666666666666668,0,1.070555,1.4497216666666666,0.0025,0,9,1,0,1,5,2,,2022-10-10 11:18:59.655000,2022-10-16 16:20:07.522000,,2022-10-10 15:10:22.792000,2022-10-10 11:19:02.415000,2022-10-15 16:03:02.428000
Sri Lanka,1993,Female,CAH17-01	Business and management,16,10/10/22 - 16/10/22,0,0,0,0,0,0,0,00:00:00,02:21:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Viet Nam,1999,Male,CAH11-01	Computing,17,10/10/22 - 16/10/22,0,1.2225,0,0,0.02222166666666667,0,0.013611666666666668,01:15:30,02:21:13,4,7,0,0.00389,0.0013883333333333332,0,0,0.485555,0,0,5,2,0,0,7,0,,2022-10-11 09:38:38.182000,2022-10-11 09:36:16.785000,,,2022-10-11 09:38:40.016000,
Viet Nam,1996,Female,CAH17-01	Business and management,18,10/10/22 - 16/10/22,1.826945,4.698055,0,0,0,0,0,06:31:30,02:21:13,2,4,0,0.0030566666666666663,0,0,0,2.799445,0,0,7,0,0,0,6,0,,2022-10-10 13:34:57.791000,,,,2022-10-10 13:34:59.179000,
United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH15-02	Economics,19,10/10/22 - 16/10/22,0,0.2708333333333333,0,0,0,0,0,00:16:15,02:21:13,2,2,0,0.000555,0,0,0.003055,0,0,0,1,0,0,1,0,0,,2022-10-11 14:47:53.096000,,,2022-10-11 14:47:55.454000,,
Sri Lanka,1989,Female,CAH17-01	Business and management,20,10/10/22 - 16/10/22,1.1827783333333335,1.6244450000000001,0,0,0,0,0,02:48:26,02:21:13,4,6,0,0.004166666666666667,0.0008333333333333334,0,0.826945,0.5288883333333333,0,0,6,1,0,1,5,0,,2022-10-10 11:57:17.773000,2022-10-10 11:57:15.185000,,2022-10-10 11:57:22.034000,2022-10-10 12:49:40.490000,
Sri Lanka,1997,Male,CAH17-01	Business and management,21,10/10/22 - 16/10/22,0,3.150276666666666,0,0,0,0,0,03:09:01,02:21:13,4,8,0,0.008055,0.0011116666666666666,0,0.027221666666666665,3.001945,0,0,13,1,0,3,9,0,,2022-10-11 11:22:14.404000,2022-10-11 11:22:10.842000,,2022-10-11 11:22:17.880000,2022-10-11 11:23:38.844000,
Nigeria,1990,Male,"CAH07-04	General, applied and forensic sciences",22,10/10/22 - 16/10/22,0,0.8972216666666667,0,0,0,0.6375,0,01:32:05,02:21:13,3,3,0,0.0022216666666666665,0.008888333333333333,0,0,0.011945,0,0,2,1,0,0,2,0,,2022-10-11 15:29:10.030000,2022-10-11 15:29:58.848000,,,2022-10-11 15:29:15.517000,
