unnamed_4,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,student_id,date_range__week_1,monday,tuesday,wednesday,thursday,friday,saturday,sunday,student_time_in_course,avg_time_per_user,total_items,total_logins,assignments,learning_materials,module_information_handbook,reading_list,week_1,week_2,assignments1,learning_materials1,module_information_handbook,reading_list1,week_11,week_21,assignments2,learning_materials2,module_information_handbook1,reading_list2,week_12,week_22,unnamed_40
60.0,Nigeria,1996,Male,"CAH13-01	Architecture, building and planning",1,03/10/22 - 09/10/22,0.0,0.005278333333333333,0.014721666666666666,0.0,0.0,0.0,0.023611666666666663,00:02:37,01:19:38,2,4,0,0.007221666666666667,0.0,0.0,0.01638833333333333,0.0,0,3,0,0,2,0,,2022-10-04 15:45:00.718,,,2022-10-04 15:45:03.544,,
70.0,Nigeria,1996,Male,CAH07-02	Chemistry,2,03/10/22 - 09/10/22,0.0,3.1175,0.0,0.0,0.0,0.0,0.0,03:07:03,01:19:38,3,3,0,0.004166666666666667,1.7733333333333334,0.0,1.330555,0.0,0,3,2,0,2,0,,2022-10-04 15:48:30.421,2022-10-04 14:02:11.582,,2022-10-04 15:48:38.726,,
65.0,Nigeria,1990,Female,CAH15-02	Economics,3,03/10/22 - 09/10/22,0.01972166666666667,1.7108333333333334,0.0,0.0,0.0,0.0,0.0,01:43:50,01:19:38,6,9,0,0.007778333333333333,0.000555,0.033055,1.6280549999999998,0.0,0,5,2,2,4,0,,2022-10-04 14:05:35.288,2022-10-03 21:49:58.608,2022-10-04 14:01:58.086,2022-10-04 14:05:37.424,,
55.0,Nigeria,1991,Male,CAH15-02	Economics,4,03/10/22 - 09/10/22,0.0016666666666666668,0.018055,0.0,0.0,0.0,0.0,0.0,00:01:11,01:19:38,2,4,0,0.0019433333333333336,0.0,0.0,0.0,0.0,0,2,0,0,2,0,,2022-10-03 11:15:47.910,,,2022-10-03 11:15:50.346,,
65.0,Pakistan,1998,Male,CAH17-01	Business and management,5,03/10/22 - 09/10/22,0.0,2.2322216666666668,0.05277833333333334,0.0,0.0,0.0,0.0,02:17:06,01:19:38,3,5,0,0.0022233333333333332,0.0016666666666666668,0.0,2.2416666666666667,0.0,0,2,2,0,2,0,,2022-10-04 15:49:31.924,2022-10-05 17:49:47.691,,2022-10-04 15:49:38.697,,
62.0,Nigeria,1985,Male,CAH10-01	Engineering,6,03/10/22 - 09/10/22,0.0,5.439445,0.0,0.0,0.0,0.0,0.0,05:26:22,01:19:38,4,4,0,0.001945,0.0008333333333333334,0.0,4.526666666666667,0.0,2,1,0,0,2,2,,2022-10-04 12:27:00.446,2022-10-04 11:39:42.832,,2022-10-04 12:27:03.171,,
61.0,Nigeria,1985,Male,CAH11-01	Computing,7,03/10/22 - 09/10/22,0.0,1.5497216666666667,0.011666666666666665,0.0,0.0,0.0,0.0,01:33:41,01:19:38,4,6,0,0.0036116666666666667,0.004166666666666667,0.0,0.5002783333333334,0.0,0,2,1,0,2,0,,2022-10-04 15:05:07.261,2022-10-04 15:32:40.566,,2022-10-04 15:05:10.582,,
77.0,United Kingdom of Great Britain and Northern Ireland,2001,Female,"CAH07-04	General, applied and forensic sciences",8,03/10/22 - 09/10/22,0.08833333333333333,2.0413883333333334,0.1875,0.0,0.0,0.0,0.0,02:19:02,01:19:38,4,10,0,0.003055,0.0,0.006111666666666666,0.87,0.0,0,6,0,1,5,0,,2022-10-04 09:45:51.107,,2022-10-04 11:21:55.518,2022-10-04 09:45:52.993,,2022-10-04 09:45:52.993
61.0,Nigeria,1976,Male,CAH03-01	Biosciences,9,03/10/22 - 09/10/22,0.0,0.0036116666666666667,0.0,0.0,0.0,0.0,0.0,00:00:13,01:19:38,2,2,0,0.0016666666666666668,0.0,0.0,0.0,0.0,0,1,0,0,1,0,,2022-10-04 15:57:44.779,,,2022-10-04 15:57:50.387,,
63.0,India,1998,Female,CAH11-01	Computing,10,03/10/22 - 09/10/22,2.2272233333333333,0.001945,0.0,0.0,0.0,0.0,0.0,02:13:45,01:19:38,4,6,0,0.0008333333333333334,0.0,2.1897216666666663,0.0,0.0,0,1,0,4,1,0,,2022-10-04 15:53:32.716,,2022-10-03 13:42:42.702,2022-10-04 15:53:35.542,,
