 Q1 Q12 Q14 Q10 Q10_4_TEXT Q16 Q17 Q18 Q14.1 Q17_1 Q17_2 Q17_3 Q17_4 Q17_5 Q17_6 Q17_7 Q17_8 Q17_9 Q17_10 Q17_11 Q1_1 Q1_2 Q1_3 Q1_4 Q1_5 Q1_6 Q1_7 Q1_8 Q1_9 Q1_10 Q7_1 Q7_2 Q7_3 Q7_4 Q7_5 Q7_6 Q7_7 Q7_8 Q7_9 Q7_10 Q7_11 Q7_12 Q7_13 Q7_14 Q7_15 Q7_16
0 "Performance Analytics in Data Science Teams 



Thank you in advance for taking the time to read this information and considering your participation in this study.
3 3 Nigeria 1990 Female  CAH15-02	Economics 2 "ARTS, ENTERTAINMENT AND RECREATION" "I have some experience" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Disagree moderately" "Diagree strongly" "Agree moderately" "Disagree moderately" "Agree moderately" "Agree strongly" "Agree moderately" "Disagree moderately" "Agree moderately" "Disagree moderately" Moderately "A Lot" Moderately "Not At All" Moderately "A Lot" Moderately "Not At All" Moderately "A Lot" "Not At All" "Not At All" Moderately "A Lot" Moderately "Not At All"
4 4 Nigeria 1991 Male  CAH15-02	Economics 6 "INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Agree moderately" "Disagree moderately" "Agree moderately" "Disagree moderately" "Agree strongly" "Neither agree nor disagree" "Agree a little" "Diagree strongly" "Agree moderately" "Diagree strongly" Exactly Exactly "Not At All" "Not At All" Exactly Exactly "Not At All" "Not At All" Exactly Exactly "Not At All" "Not At All" Exactly Exactly Moderately "Not At All"
5 5 Pakistan 1998 Male  "CAH17-01	Business and management" 0  "I have some experience" "Neither agree nor disagree" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Neither agree nor disagree" "Neither agree nor disagree" "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" "Agree strongly" "Diagree strongly" "Agree a little" "Disagree moderately" "Agree strongly" "Diagree strongly" Moderately Enough Moderately "A Very Little" Enough Enough "A Very Little" "A Little" Enough Moderately Moderately Moderately Moderately Moderately Moderately Moderately
6 6 Nigeria 1985 Male  CAH10-01	Engineering 11 "TRANSPORTATION AND STORAGE,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION" "I have some experience" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Disagree moderately" "Agree strongly" "Diagree strongly" "Agree moderately" "Agree a little" "Diagree strongly" "Diagree strongly" "Agree strongly" "Diagree strongly" "A Lot" Exactly "A Lot" "A Lot" Enough "A Lot" Moderately "Not At All" "A Lot" Enough "A Very Little" "Not At All" Enough Enough Moderately Moderately
7 7 Nigeria 1985 Male  CAH11-01	Computing 10 "MANUFACTURING,INFORMATION AND COMMUNICATION,EDUCATION" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree a little" "Agree strongly" "Diagree strongly" "Neither agree nor disagree" "Diagree strongly" "Agree strongly" "Diagree strongly" Exactly Exactly Exactly "Not At All" Exactly Exactly Exactly "Not At All" Exactly Exactly "Not At All" "Not At All" Exactly Exactly Exactly "Not At All"
8 8 "United Kingdom of Great Britain and Northern Ireland" 2001 Female  "CAH07-04	General, applied and forensic sciences" 5 "FINANCIAL AND INSURANCE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat disagree" "Agree a little" "Agree strongly" "Agree strongly" "Agree moderately" "Agree a little" "Neither agree nor disagree" "Agree a little" "Diagree strongly" "Diagree strongly" "Agree a little" Enough Enough Exactly "A Little" Enough Enough "A Lot" Enough Moderately Moderately Exactly Enough Moderately Moderately Enough Moderately
9 9 Nigeria 1976 Male  CAH03-01	Biosciences 21 "FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Agree moderately" "Disagree moderately" "Agree strongly" "Disagree a little" "Agree strongly" "Agree moderately" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree a little" Exactly Exactly Enough "Not At All" Exactly Exactly Exactly Moderately Moderately Enough "Not At All" "A Little" Exactly Exactly "A Lot" "Not At All"
10 10 India 1998 Female  CAH11-01	Computing 2.5 "PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat disagree" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Strongly agree" "Agree moderately" "Diagree strongly" "Agree strongly" "Agree a little" "Agree moderately" "Disagree moderately" "Agree a little" "Diagree strongly" "Disagree a little" "Diagree strongly" Exactly Exactly "Not At All" "Not At All" Moderately Exactly "A Very Little" "Not At All" Moderately "Not At All" "Not At All" "Not At All" Moderately Exactly "Not At All" "Not At All"
11 11 Nigeria 1996 Female  CAH07-02	Chemistry 3 "ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Disagree moderately" "Diagree strongly" "Agree strongly" "Diagree strongly" "Agree strongly" "Neither agree nor disagree" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree moderately" Exactly Exactly Exactly "Not At All" Exactly Exactly Moderately "Not At All" Exactly Exactly "Not At All" "Not At All" Exactly Exactly "Not At All" "Not At All"
12 12 Nigeria 1986 Female  "CAH06-01	Agriculture, food and related studies" 10 "FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Agree a little" "Diagree strongly" "Agree moderately" "Neither agree nor disagree" "Agree a little" "Agree moderately" "Agree moderately" "Disagree moderately" "Agree a little" "Agree a little" "A Lot" Exactly Exactly "Not At All" "A Lot" Exactly Moderately "Not At All" "A Lot" Moderately Moderately "Not At All" "A Lot" "A Lot" Enough "Not At All"
