total_marks,list_of_countries,what_is_your_year_of_birth_just_the_year,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,student_id,date_range,monday,tuesday,wednesday,thursday,friday,saturday,sunday,student_time_in_course,avg_time_per_user,total_items,total_logins,std_act_assignments,std_act_learning_materials,std_act_module_information_handbook,std_act_reading_list,std_act_week1,std_act_week2,no_of_times_accessed_assignments,no_of_times_accessed_learning_materials,no_of_times_accessed_module_information_handbook,no_of_times_accessed_reading_list,no_of_times_week1,no_of_times_week2,initial_access_assignments,initial_access_learning_materials,initial_access_information_handbook,initial_access_reading_list,initial_access_week1,initial_access_week2,main_week,std_act_week3,no_of_times_week3,initial_access_week3,std_act_df5,no_of_times_week4,initial_access_week4,std_act_week4,std_act_week5,std_act_week6,std_act_week7,no_of_times_week5,no_of_times_week6,no_of_times_week7,initial_access_week5,initial_access_week6,initial_access_week7,std_act_week8,no_of_times_week8,initial_access_week8,std_act_week9,no_of_times_week9,initial_access_week9,std_act_week10,no_of_times_week10,initial_access_week10,std_act_week_11_feedback,no_of_times_week11_feedback,initial_access_week11_feedback
67.0,Nigeria,1996,Female,CAH07-02	Chemistry,11,03/10/22 - 09/10/22,0.0,2.1083333333333334,0.0,0.0,0.0,0.0,0.0,02:06:30,01:19:38,3,3,0.0,0.005833333333333333,0.0,0.0,1.9091666666666667,0.0,0,3,0,0,1,0,NA,2022-10-04 15:11:39.609000,NA,NA,2022-10-04 15:11:44.216000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.0,Nigeria,1986,Female,"CAH06-01	Agriculture, food and related studies",12,03/10/22 - 09/10/22,0.189445,6.689166666666667,0.0,0.007778333333333333,0.049721666666666664,0.0,0.0,06:56:10,01:19:38,5,13,0.0,0.006666666666666667,0.009445000000000002,1.5966666666666667,3.15889,0.0,0,6,1,6,6,0,NA,2022-10-03 12:18:20.720000,2022-10-04 14:33:38.001000,2022-10-03 12:18:52.334000,2022-10-03 12:18:24.798000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.0,United Kingdom of Great Britain and Northern Ireland,1995,Male,CAH11-01	Computing,13,03/10/22 - 09/10/22,0.0,4.679166666666666,0.04416666666666667,0.0,0.0,0.008888333333333333,0.0,04:43:56,01:19:38,3,5,0.0,0.0022216666666666665,1.4852783333333335,0.0,3.145,0.0,0,3,3,0,3,0,NA,2022-10-04 11:04:32.766000,2022-10-04 14:14:27.735000,NA,2022-10-04 11:04:37.310000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57.0,Bangladesh,1997,Female,CAH10-01	Engineering,14,03/10/22 - 09/10/22,0.0,3.305,0.0,0.0,0.0,0.0,0.0,03:18:18,01:19:38,8,8,0.0,0.008888333333333333,1.7569450000000002,0.058611666666666666,1.1366666666666667,0.0,0,4,3,2,3,0,NA,2022-10-04 12:49:11.031000,2022-10-04 12:40:49.049000,2022-10-04 12:43:55.031000,2022-10-04 12:49:18.623000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64.0,Italy,2000,Female,CAH16-01	Law,15,03/10/22 - 09/10/22,0.27666666666666667,0.6108333333333333,0.0,0.0725,0.0,0.0,0.0016666666666666668,00:57:42,01:19:38,3,10,0.0,0.005555000000000001,0.0013883333333333332,0.0,0.18333333333333332,0.0,0,6,1,0,5,0,NA,2022-10-03 15:11:50.041000,2022-10-03 15:12:22.128000,NA,2022-10-03 15:11:53.473000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64.0,Sri Lanka,1993,Female,CAH17-01	Business and management,16,03/10/22 - 09/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,01:19:38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78.0,Viet Nam,1999,Male,CAH11-01	Computing,17,03/10/22 - 09/10/22,0.0,3.7741666666666664,0.021666666666666667,0.0,0.0008333333333333334,0.0,1.6908333333333334,05:29:15,01:19:38,9,19,0.0,0.3027783333333333,0.004445,1.8636116666666669,0.719445,0.0,0,12,4,4,6,0,NA,2022-10-04 10:45:34.183000,2022-10-04 10:45:16.351000,2022-10-04 10:45:27.593000,2022-10-04 10:45:35.702000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.0,Viet Nam,1996,Female,CAH17-01	Business and management,18,03/10/22 - 09/10/22,0.07722166666666667,2.310555,0.0,0.0,0.0,0.0,0.0,02:23:16,01:19:38,5,18,0.0,0.0033333333333333335,0.0027783333333333336,0.00389,1.0230566666666667,0.0,0,8,2,8,7,0,NA,2022-10-03 14:10:57.311000,2022-10-03 14:10:54.609000,2022-10-03 14:10:53.314000,2022-10-03 14:10:59.208000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH15-02	Economics,19,03/10/22 - 09/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.016111666666666666,00:00:58,01:19:38,1,1,0.0,0.00027833333333333334,0.0,0.0,0.0,0.0,0,1,0,0,0,0,NA,2022-10-09 23:17:24.116000,NA,NA,NA,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Sri Lanka,1989,Female,CAH17-01	Business and management,20,03/10/22 - 09/10/22,0.0,0.315,0.0,0.0,0.0,0.0,0.0,00:18:54,01:19:54,4,4,0.0,0.000555,0.0008333333333333334,0.0,0.29638833333333336,0.0,0,1,1,0,1,0,NA,2022-10-04 23:03:12.885000,2022-10-04 23:03:09.998000,NA,2022-10-04 23:03:15.047000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.0,Sri Lanka,1997,Male,CAH17-01	Business and management,21,03/10/22 - 09/10/22,0.0,2.9116666666666666,0.0,0.0,0.0,0.0,0.0,02:54:42,01:19:38,6,6,0.0,0.0016666666666666668,0.095555,0.3736116666666666,0.08472166666666665,0.0,0,3,2,3,3,0,NA,2022-10-04 09:36:29.167000,2022-10-04 09:30:52.828000,2022-10-04 13:18:32.036000,2022-10-04 09:36:31.499000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59.0,Nigeria,1990,Male,"CAH07-04	General, applied and forensic sciences",22,03/10/22 - 09/10/22,0.0,1.3133333333333332,0.004445,0.0,0.0,0.0,0.0,01:19:04,01:19:38,5,6,0.0,0.001945,0.007221666666666667,0.0027783333333333336,1.2788883333333334,0.0,0,2,2,2,1,0,NA,2022-10-04 15:53:51.445000,2022-10-04 17:08:24.301000,2022-10-04 17:08:45.901000,2022-10-04 15:53:54.713000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
