student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
81,53.0,Pakistan,1989.0,Male,CAH11-01	Computing,
82,58.0,Bangladesh,1998.0,Male,CAH11-01	Computing,
83,61.0,Bangladesh,1997.0,Male,CAH10-01	Engineering,
84,57.0,India,1991.0,Female,CAH11-01	Computing,
85,68.0,Sri Lanka,1984.0,Female,CAH11-01	Computing,
86,68.0,Sri Lanka,1995.0,Male,CAH11-01	Computing,
87,70.0,Nigeria,1996.0,Female,CAH02-05	Medical sciences,
88,68.0,Sri Lanka,1986.0,Female,CAH11-01	Computing,
89,58.0,Afghanistan,1996.0,Male,CAH11-01	Computing,
90,53.0,India,1998.0,Female,CAH11-01	Computing,
91,51.0,Bangladesh,1992.0,Male,CAH11-01	Computing,
92,77.0,Sri Lanka,1996.0,Female,CAH11-01	Computing,
92,58.0,India,1989.0,Female,CAH11-01	Computing,
94,58.0,India,1994.0,Female,CAH11-01	Computing,
95,76.0,India,2000.0,Female,CAH11-01	Computing,
96,70.0,Nigeria,1987.0,Female,CAH11-01	Computing,
97,62.0,India,1992.0,Female,CAH11-01	Computing,
98,72.0,Nigeria,1984.0,Male,CAH07-01	Physics and astronomy,
99,60.0,Nigeria,1979.0,Female,CAH09-01	Mathematical sciences,
100,71.0,Nigeria,1991.0,Male,CAH10-01	Engineering,
101,64.0,Nigeria,1990.0,Male,CAH22-01	Education and teaching,
102,71.0,India,2001.0,Male,CAH11-01	Computing,
103,60.0,India,2001.0,Male,CAH11-01	Computing,
104,65.0,Pakistan,1996.0,Male,CAH11-01	Computing,
105,60.0,Bangladesh,1998.0,Male,CAH10-01	Engineering,
106,50.0,India,1995.0,Female,CAH10-01	Engineering,
107,58.0,India,1999.0,Male,CAH10-03	Materials and technology,
108,70.0,Somalia,1911.0,Male,CAH10-01	Engineering,
109,70.0,India,1999.0,Female,CAH17-01	Business and management,
110,63.0,India,1997.0,Female,CAH11-01	Computing,
111,76.0,Sri Lanka,1994.0,Female,CAH11-01	Computing,
112,75.0,India,1998.0,Male,CAH10-01	Engineering,
113,64.0,Portugal,2000.0,Male,CAH11-01	Computing,
114,67.0,India,2001.0,Male,CAH11-01	Computing,
115,66.0,Nigeria,1995.0,Female,CAH11-01	Computing,
116,68.0,China,2002.0,Male,CAH11-01	Computing,
117,58.0,Pakistan,1996.0,Male,CAH11-01	Computing,
118,63.0,Nigeria,1990.0,Male,CAH11-01	Computing,
119,66.0,Iraq,1987.0,Female,CAH11-01	Computing,
120,71.0,Ghana,1995.0,Male,"CAH06-01	Agriculture, food and related studies",
121,70.0,Nigeria,1996.0,Male,CAH03-01	Biosciences,
122,68.0,India,1993.0,Male,CAH10-01	Engineering,
123,57.0,Iran,2001.0,Male,CAH10-03	Materials and technology,
124,64.0,Nigeria,1998.0,Male,CAH03-01	Biosciences,
125,72.0,United States of America,1991.0,Female,CAH19-01	English studies,
126,67.0,Nigeria,1995.0,Male,CAH11-01	Computing,
127,57.0,Pakistan,2000.0,Female,CAH05-01	Veterinary sciences,
128,61.0,Algeria,1999.0,Female,CAH11-01	Computing,
129,68.0,Pakistan,1998.0,Male,CAH11-01	Computing,
130,70.0,Myanmar,2000.0,Female,CAH11-01	Computing,
131,57.0,Nigeria,1985.0,Male,"CAH06-01	Agriculture, food and related studies",
132,65.0,Myanmar,1997.0,Female,CAH10-01	Engineering,
133,61.0,India,1996.0,Male,CAH11-01	Computing,
134,58.0,India,1995.0,Female,CAH11-01	Computing,
135,70.0,Myanmar,2003.0,Female,CAH11-01	Computing,
