student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,bond_perosnally_with_my_team_members,we_will_collaborate_together_on_the_same_tasks,work_separately_and_link_up_our_work_later,develop_my_professional_skills,develop_my_team_working_skills,adjust_the_project_regularly,we_will_stick_to_our_original_project,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,this_module_is_interesting,for_my_own_good,because_i_am_supposed_to_do_it,i_don’t_see_any_good_reasons_in_the_module,this_module_is_pleasant,this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,i_am_not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,don’t_have_any_choice,don’t_see_what_this_module_brings_me,because_i_feel_good_about_this_module,module_is_important_for_me,i_feel_that_i_have_to_do_it,i_am_not_sure_it_is_a_good_thing_to_pursue_it
1,Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
22,Nigeria,1990,Male,,"CAH07-04	General, applied and forensic sciences",7,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree moderately,Diagree strongly,Enough,Exactly,Moderately,Not At All,A Lot,A Lot,Moderately,Not At All,A Little,Exactly,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
23,Nigeria,1993,Female,,CAH09-01	Mathematical sciences,6,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,,,,,,Exactly,Enough,,,,,,,,,
24,United Kingdom of Great Britain and Northern Ireland,1988,Male,,CAH03-01	Biosciences,10,EDUCATION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree a little,Disagree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,A Lot,A Lot,Not At All,Not At All,Moderately,Enough,Not At All,Not At All,Enough,A Lot,Not At All,Not At All,Moderately,Enough,Not At All,A Very Little
25,United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH17-01	Business and management,,OTHER SERVICE ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,United Kingdom of Great Britain and Northern Ireland,1998,Male,,CAH15-02	Economics,0,,I have some experience,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,A Very Little,A Little,A Little,A Little,Moderately,Enough,A Little,A Little,A Very Little,A Very Little,A Lot,Not At All,A Little,A Very Little,A Very Little,Not At All
27,Switzerland,1996,Female,,CAH17-01	Business and management,13,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,EDUCATION,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Moderately,Moderately,Exactly,A Little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Exactly,A Little,Moderately,Moderately,Moderately,Moderately
28,United Kingdom of Great Britain and Northern Ireland,1995,Non-binary / third gender,,"CAH15-01	Sociology, social policy and anthropology",,OTHER SERVICE ACTIVITIES,I have extensive experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Diagree strongly,Neither agree nor disagree,A Little,A Very Little,Exactly,A Very Little,Moderately,Exactly,Enough,Exactly,Enough,A Lot,Exactly,Enough,A Lot,Exactly,Exactly,A Little
29,United Kingdom of Great Britain and Northern Ireland,1998,Male,,CAH11-01	Computing,8,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Diagree strongly,Disagree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Neither agree nor disagree,A Lot,Exactly,Exactly,A Very Little,Moderately,Exactly,Exactly,A Very Little,A Lot,Exactly,Enough,Not At All,Exactly,Exactly,A Lot,A Little
30,Spain,1983,Male,,CAH10-01	Engineering,13,"MANUFACTURING,INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Enough,A Little,Enough,A Very Little,A Very Little,Enough,Exactly,A Lot,A Little,A Very Little,A Lot,A Very Little,A Little,Moderately,A Lot,Moderately
31,India,1998,Male,,CAH11-01	Computing,1.75,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree a little,Neither agree nor disagree,Diagree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree a little,Moderately,Enough,Enough,Enough,Enough,Enough,A Lot,Enough,A Lot,Enough,A Lot,Enough,A Lot,Enough,A Lot,Enough
