student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area
309,70,Nigeria,1987,Female,CAH11-01	Computing
310,62,India,1992,Female,CAH11-01	Computing
311,72,Nigeria,1984,Male,CAH07-01	Physics and astronomy
312,60,Nigeria,1979,Female,CAH09-01	Mathematical sciences
313,71,Nigeria,1991,Male,CAH10-01	Engineering
314,64,Nigeria,1990,Male,CAH22-01	Education and teaching
315,71,India,2001,Male,CAH11-01	Computing
316,60,India,2001,Male,CAH11-01	Computing
317,65,Pakistan,1996,Male,CAH11-01	Computing
318,60,Bangladesh,1998,Male,CAH10-01	Engineering
319,50,India,1995,Female,CAH10-01	Engineering
320,58,India,1999,Male,CAH10-03	Materials and technology
321,70,Somalia,1911,Male,CAH10-01	Engineering
322,70,India,1999,Female,CAH17-01	Business and management
323,63,India,1997,Female,CAH11-01	Computing
324,76,Sri Lanka,1994,Female,CAH11-01	Computing
325,75,India,1998,Male,CAH10-01	Engineering
326,64,Portugal,2000,Male,CAH11-01	Computing
327,67,India,2001,Male,CAH11-01	Computing
328,66,Nigeria,1995,Female,CAH11-01	Computing
329,68,China,2002,Male,CAH11-01	Computing
330,58,Nigeria,1990,Male,CAH11-01	Computing
331,63,Iraq,1987,Female,CAH11-01	Computing
332,66,Ghana,1995,Male,"CAH06-01	Agriculture, food and related studies"
333,71,Nigeria,1996,Male,CAH03-01	Biosciences
334,70,India,1993,Male,CAH10-01	Engineering
335,68,Iran,2001,Male,CAH10-03	Materials and technology
336,57,Nigeria,1998,Male,CAH03-01	Biosciences
337,64,United States of America,1991,Female,CAH19-01	English studies
338,72,Nigeria,1995,Male,CAH11-01	Computing
339,67,Pakistan,2000,Female,CAH05-01	Veterinary sciences
340,57,Algeria,1999,Female,CAH11-01	Computing
341,61,Pakistan,1998,Male,CAH11-01	Computing
342,68,Myanmar,2000,Female,CAH11-01	Computing
343,70,Nigeria,1985,Male,"CAH06-01	Agriculture, food and related studies"
344,57,Myanmar,1997,Female,CAH10-01	Engineering
345,65,India,1996,Male,CAH11-01	Computing
346,61,India,1995,Female,CAH11-01	Computing
347,58,Myanmar,2003,Female,CAH11-01	Computing
